entity_id,entity_name,segment,owner
ACC001,Access workflow 1,Watch,Operations
ACC002,Access workflow 2,Growth,Analytics
ACC003,Access workflow 3,Core,Revenue
ACC004,Access workflow 4,Growth,Product
ACC005,Access workflow 5,Strategic,Analytics
ACC006,Access workflow 6,Strategic,Customer
ACC007,Access workflow 7,Growth,Product
ACC008,Access workflow 8,Watch,Customer
ACC009,Access workflow 9,Strategic,Product
ACC010,Access workflow 10,Growth,Analytics
ACC011,Access workflow 11,Growth,Product
ACC012,Access workflow 12,Strategic,Revenue
ACC013,Access workflow 13,Core,Product
ACC014,Access workflow 14,Growth,Product
ACC015,Access workflow 15,Strategic,Customer
ACC016,Access workflow 16,Core,Analytics
ACC017,Access workflow 17,Strategic,Analytics
ACC018,Access workflow 18,Watch,Revenue
ACC019,Access workflow 19,Growth,Revenue
ACC020,Access workflow 20,Strategic,Analytics
ACC021,Access workflow 21,Watch,Product
ACC022,Access workflow 22,Strategic,Analytics
ACC023,Access workflow 23,Growth,Product
ACC024,Access workflow 24,Core,Operations
ACC025,Access workflow 25,Strategic,Analytics
ACC026,Access workflow 26,Watch,Product
ACC027,Access workflow 27,Watch,Analytics
ACC028,Access workflow 28,Growth,Analytics
ACC029,Access workflow 29,Core,Revenue
ACC030,Access workflow 30,Strategic,Product
ACC031,Access workflow 31,Growth,Revenue
ACC032,Access workflow 32,Strategic,Product
ACC033,Access workflow 33,Core,Revenue
ACC034,Access workflow 34,Strategic,Customer
ACC035,Access workflow 35,Watch,Product
ACC036,Access workflow 36,Core,Product
